,name,city,country,code_iata,code_icao,latitude,longitude,altitude,tz,dst,tz_region
7830,Dorli,Dorlin,French Guiana,,\N,3.7353,-53.5287,0,-3.0,N,America/Cayenne
7831,Elyse,Elysee,French Guiana,,\N,4.75,-54.05,0,-3.0,N,America/Cayenne
7832,Herap,Morsbach,France,,\N,49.160592,6.864892,0,1.0,E,Europe/Paris
7833,OSMSE,Saint Elie,French Guiana,,\N,4.81444,-53.28833,0,-3.0,N,America/Cayenne
7834,Prevo,Remire,French Guiana,,\N,4.89333,-52.29222,0,-3.0,N,America/Cayenne
7835,Sisli Belediyesi Evlendirme Dairesi Heliport,Istanbul,Turkey,,\N,41.0410805,28.9923138,100,2.0,E,Europe/Istanbul
7836,Kadikoy Ispark Heliport,Istanbul,Turkey,,\N,40.989305,29.018833,100,2.0,E,Europe/Istanbul
7837,Bingol,Bingol,Turkey,BGG,LTCU,38.86111,40.5925,3490,2.0,E,Europe/Istanbul
7838,Uzunyazi,Kastamonu,Turkey,KFS,LTAL,41.316944,33.796111,3520,2.0,E,Europe/Istanbul
7839,Okawango Lodge,Okawango,Botswana,,\N,-19.25,23.09,3100,2.0,N,Africa/Gaborone
7840,Kai Tak,Hong Kong,Hong Kong,,HKGX,22.317883,114.202108,50,8.0,U,Asia/Hong_Kong
7841,Elstree,Elstree,United Kingdom,,EGTR,51.4807,-0.00093,250,0.0,E,Europe/London
7842,Sandtoft Airfield,Sandtoft,United Kingdom,,EGCF,53.559444,-0.858332,11,0.0,E,Europe/London
7843,Bourne Park,Hurtsbourne Tarrant,United Kingdom,,\N,51.264449,-1.461975,550,0.0,E,Europe/London
7844,Hite Airport,Hanksville,United States,UT3,\N,37.8916547,-110.3840289,3840,-7.0,A,America/Denver
7845,Dieppe Ferry Port,Dieppe,France,,\N,49.933616,1.088039,0,1.0,E,Europe/Paris
7846,Newhaven Ferry Port,Newhaven,United Kingdom,,\N,50.790385,0.054551,0,0.0,E,Europe/London
7847,Ollantaytambo Train Station,Ollantaytambo,Peru,,\N,-13.263155,-72.270291,9160,-5.0,N,America/Lima
7848,Aguas Calientes Train Station,Aguas Calientes,Peru,,\N,-13.1556,-72.5238,6693,-5.0,N,America/Lima
7849,Poroy Train Station,Cusco,Peru,,\N,-13.4944,-72.0421,11710,-5.0,N,America/Lima
7850,Aberdeen Harbour,Aberdeen,United Kingdom,,\N,57.13967,-2.07467,0,0.0,E,Europe/London
7851,Lerwick Harbour,Lerwick,United Kingdom,,\N,60.15,-1.13333,0,0.0,E,Europe/London
7852,Torshavn Harbour,Torshavn,Faroe Islands,,\N,62.0057,-6.7717,0,0.0,E,Atlantic/Faeroe
7853,Seydisfjordur,Seydisfjordur,Iceland,,\N,65.26016,-14.00905,0,0.0,E,Atlantic/Reykjavik
7854,Queen Street Station,Glasgow,United Kingdom,GLQ,\N,55.8622,-4.2512,50,0.0,E,Europe/London
